iter	RMSE
0	14.62076249
1	14.23687469
2	13.85921964
3	13.50603995
4	13.18009969
5	12.85355223
6	12.54760179
7	12.25216132
8	11.9646331
9	11.71429042
10	11.45539506
11	11.20228969
12	10.9509021
13	10.69955402
14	10.46263533
15	10.24243
16	10.02435689
17	9.842689852
18	9.635954267
19	9.440963906
20	9.252073333
21	9.080326133
22	8.910371803
23	8.751597815
24	8.595741433
25	8.453716255
26	8.315977448
27	8.183551554
28	8.061955343
29	7.949551655
30	7.825449163
31	7.721574245
32	7.628020071
33	7.522673744
34	7.421908391
35	7.326560496
36	7.242729544
37	7.157315674
38	7.070277552
39	6.991010204
40	6.922367817
41	6.861073664
42	6.796765183
43	6.724967624
44	6.659325011
45	6.602906221
46	6.5463049
47	6.497011378
48	6.442849217
49	6.39680356
50	6.345012707
51	6.302391123
52	6.260852881
53	6.213681866
54	6.173550274
55	6.131420895
56	6.093421826
57	6.056399602
58	6.020877639
59	5.99028849
60	5.960772121
61	5.931850128
62	5.900597352
63	5.868597241
64	5.841097766
65	5.8128786
66	5.785873037
67	5.762152529
68	5.738450554
69	5.715218688
70	5.700422071
71	5.674627887
72	5.655699819
73	5.63785966
74	5.614317666
75	5.596009904
76	5.57932114
77	5.564776256
78	5.54753117
79	5.532831426
80	5.5153769
81	5.501981938
82	5.490537248
83	5.476031632
84	5.459454803
85	5.444939251
86	5.433594675
87	5.424022161
88	5.411569688
89	5.401294542
90	5.387644766
91	5.378880471
92	5.364854705
93	5.354032564
94	5.343187733
95	5.334036072
96	5.322996356
97	5.312625778
98	5.30521283
99	5.295788597
100	5.287963102
101	5.278365165
102	5.270993521
103	5.263051212
104	5.252238367
105	5.24442311
106	5.238111571
107	5.233264375
108	5.227282608
109	5.221176074
110	5.216176844
111	5.2105985
112	5.205462857
113	5.200943568
114	5.196337828
115	5.189175186
116	5.181276175
117	5.175753495
118	5.170159395
119	5.164513271
120	5.159674087
121	5.154123042
122	5.149483988
123	5.14262679
124	5.136341679
125	5.130476565
126	5.128267422
127	5.122085668
128	5.119231602
129	5.11420044
130	5.109785131
131	5.105057553
132	5.10146469
133	5.098968854
134	5.094574523
135	5.092596097
136	5.090988959
137	5.088049203
138	5.081613896
139	5.076476309
140	5.071316085
141	5.068705654
142	5.065254885
143	5.063825184
144	5.059579246
145	5.057503899
146	5.056823476
147	5.052165782
148	5.048972542
149	5.04594469
150	5.042766894
151	5.036582492
152	5.033910617
153	5.030212436
154	5.026518011
155	5.023250309
156	5.019029852
157	5.016631252
158	5.013052951
159	5.008807424
160	5.00469823
161	4.999064803
162	4.995114193
163	4.989037165
164	4.986431645
165	4.980783601
166	4.977505159
167	4.975385263
168	4.971452878
169	4.969451394
170	4.964295658
171	4.962408517
172	4.958144429
173	4.955375015
174	4.953625509
175	4.949857256
176	4.944320164
177	4.937987741
178	4.936307609
179	4.934069911
180	4.927309674
181	4.922852264
182	4.91795282
183	4.913668894
184	4.910322333
185	4.908747911
186	4.907237236
187	4.904796105
188	4.901678881
189	4.899918882
190	4.896062671
191	4.892351792
192	4.888562126
193	4.888357527
194	4.887226903
195	4.882451708
