iter	Passed	Remaining
0	0	869
1	1	781
2	2	686
3	3	769
4	3	765
5	4	759
6	5	776
7	6	809
8	7	820
9	8	833
10	9	838
11	10	836
12	10	833
13	11	830
14	12	829
15	13	828
16	14	825
17	15	818
18	15	812
19	16	798
20	16	791
21	17	781
22	18	779
23	19	775
24	19	772
25	20	772
26	21	767
27	22	773
28	22	769
29	23	770
30	24	769
31	25	770
32	26	769
33	26	765
34	27	760
35	28	767
36	29	763
37	30	763
38	30	762
39	31	762
40	32	760
41	33	755
42	33	750
43	34	749
44	35	746
45	35	741
46	36	737
47	37	738
48	38	739
49	38	733
50	39	730
51	39	724
52	40	722
53	41	718
54	41	714
55	42	712
56	42	710
57	43	706
58	44	703
59	44	701
60	45	698
61	46	697
62	46	695
63	47	692
64	48	690
65	48	688
66	49	687
67	49	684
68	50	681
69	51	679
70	51	675
71	52	675
72	53	676
73	53	675
74	54	673
75	55	671
76	55	669
77	56	667
78	57	666
79	57	664
80	58	662
81	58	660
82	59	658
83	60	656
84	60	654
85	61	653
86	62	652
87	62	650
88	63	648
89	63	647
90	64	644
91	65	644
92	66	644
93	66	643
94	67	644
95	68	647
96	69	645
97	69	643
98	70	642
99	71	641
100	71	639
101	72	637
102	73	636
103	73	634
104	74	633
105	74	631
106	75	630
107	76	629
108	76	627
109	77	626
110	78	625
111	78	623
112	79	622
113	79	621
114	80	619
115	81	618
116	82	619
117	82	619
118	83	619
119	84	620
120	85	621
121	86	622
122	87	623
123	88	625
124	89	626
125	90	626
126	90	624
127	91	623
128	92	622
129	92	622
130	93	621
131	94	620
132	95	619
133	95	618
134	96	617
135	97	617
136	98	618
137	98	618
138	99	618
139	100	617
140	101	617
141	102	616
142	102	616
143	103	616
144	104	616
145	105	616
146	105	614
147	106	615
148	107	616
149	108	616
150	109	616
151	110	615
152	111	616
153	112	615
154	113	616
155	113	616
156	115	617
157	115	617
158	116	617
159	117	618
160	118	620
161	120	620
162	120	620
163	121	620
164	122	620
165	123	620
166	124	619
167	125	619
168	125	619
169	126	618
170	127	619
171	128	620
172	129	620
173	130	620
174	131	620
175	132	619
176	133	621
177	134	620
178	135	620
179	136	620
180	136	619
181	137	619
182	138	617
183	139	618
184	140	616
185	140	616
186	141	614
187	142	614
188	143	613
189	143	613
190	144	613
191	145	611
192	146	611
193	146	609
194	147	608
195	148	608
196	149	607
197	149	606
198	150	605
199	151	606
200	152	605
201	152	604
202	153	603
203	154	601
204	155	601
205	155	599
206	156	598
207	157	597
208	157	596
209	158	597
210	159	595
211	159	594
212	160	594
213	161	593
214	162	592
215	163	592
216	164	591
217	165	592
218	165	591
219	166	589
220	167	589
221	168	588
222	168	587
223	169	586
224	170	585
225	170	584
226	171	584
227	171	581
228	172	580
229	173	580
230	174	580
231	175	579
232	175	578
233	176	579
234	177	577
235	178	577
236	179	577
237	180	577
238	181	576
239	181	575
240	182	574
241	183	573
242	183	572
243	184	571
244	185	570
245	185	569
246	186	568
247	187	567
248	187	566
249	188	565
250	189	565
251	190	565
252	191	564
253	191	563
254	192	563
255	193	562
256	194	561
257	195	560
258	195	559
259	196	558
260	197	557
261	197	556
262	198	555
263	199	555
264	199	554
265	200	553
266	201	552
267	202	551
268	202	551
269	203	550
270	204	550
271	205	549
272	206	549
273	207	548
274	207	548
275	208	547
276	209	546
277	210	545
278	210	544
279	211	544
280	212	542
281	213	542
282	213	541
283	214	540
284	215	539
285	215	539
286	216	537
287	217	537
288	218	536
289	219	536
290	219	535
291	220	535
292	221	534
293	222	533
294	223	533
295	224	532
296	224	532
297	225	531
298	226	530
299	226	529
300	227	528
301	228	527
302	228	526
303	229	525
304	230	524
305	230	523
306	231	523
307	232	522
308	233	521
309	233	520
310	234	520
311	235	519
312	236	518
313	237	518
314	237	517
315	238	516
316	239	515
317	240	514
318	240	513
319	241	513
320	242	512
321	242	511
322	243	510
323	244	509
324	244	508
325	245	507
326	246	507
327	247	506
328	247	505
329	248	504
330	249	503
331	250	503
332	250	502
333	251	501
334	252	501
335	253	500
336	254	500
337	254	499
338	255	498
339	256	497
340	257	496
341	257	495
342	258	494
343	259	494
344	259	493
345	260	492
346	261	491
347	261	490
348	262	489
349	262	488
350	263	487
351	264	486
352	265	486
353	266	485
354	266	484
355	267	484
356	268	483
357	269	483
358	270	482
359	270	481
360	271	481
361	272	479
362	272	479
363	273	478
364	274	477
365	275	477
366	276	476
367	277	476
368	278	475
369	279	475
370	280	474
371	281	474
372	282	474
373	282	473
374	283	472
375	284	471
376	285	470
377	285	470
378	286	469
379	287	468
380	287	467
381	288	466
382	289	465
383	290	465
384	290	464
385	291	463
386	292	462
387	292	461
388	293	460
389	294	459
390	294	459
391	295	458
392	296	458
393	297	457
394	298	456
395	299	456
396	300	455
397	301	455
398	301	454
399	302	454
400	303	453
401	304	453
402	305	452
403	306	451
404	307	451
405	307	450
406	308	449
407	309	448
408	310	448
409	311	448
410	312	447
411	312	446
412	313	445
413	314	444
414	314	443
415	315	442
416	315	441
417	316	440
418	317	439
419	317	439
420	318	438
421	319	437
422	319	436
423	320	435
424	321	434
425	321	433
426	322	432
427	323	432
428	323	431
429	324	430
430	325	429
431	326	429
432	327	428
433	327	427
434	328	426
435	329	426
436	330	425
437	331	424
438	331	423
439	332	423
440	332	422
441	333	421
442	334	420
443	335	419
444	335	418
445	336	418
446	337	417
447	337	416
448	338	415
449	339	414
450	340	414
451	341	413
452	342	413
453	343	412
454	343	411
455	344	411
456	345	410
457	346	410
458	347	409
459	348	408
460	348	407
461	349	407
462	350	406
463	351	406
464	352	405
465	352	404
466	353	403
467	354	402
468	355	402
469	356	401
470	356	400
471	357	400
472	358	399
473	359	398
474	359	397
475	360	397
476	361	396
477	362	395
478	363	394
479	363	394
480	364	393
481	365	392
482	366	391
483	366	391
484	367	390
485	368	389
486	369	388
487	369	387
488	370	387
489	371	386
490	371	385
491	372	384
492	373	383
493	373	382
494	374	382
495	375	381
496	375	380
497	376	379
498	376	378
499	377	377
500	378	376
501	378	375
502	379	375
503	380	374
504	380	373
505	381	372
506	381	371
507	382	370
508	383	369
509	384	368
510	384	368
511	385	367
512	386	367
513	387	366
514	387	365
515	388	364
516	389	363
517	389	362
518	390	361
519	390	360
520	391	360
521	392	359
522	392	358
523	393	357
524	394	356
525	394	355
526	395	354
527	395	353
528	396	353
529	397	352
530	397	351
531	398	350
532	399	349
533	399	348
534	400	348
535	401	347
536	402	346
537	402	346
538	403	345
539	404	344
540	405	343
541	405	343
542	406	342
543	407	341
544	407	340
545	408	339
546	409	338
547	409	337
548	410	337
549	410	336
550	411	335
551	412	334
552	412	333
553	413	332
554	414	332
555	414	331
556	416	330
557	416	330
558	417	329
559	418	328
560	418	327
561	419	327
562	420	326
563	421	325
564	421	324
565	422	323
566	423	323
567	423	322
568	424	321
569	425	320
570	426	320
571	426	319
572	427	318
573	428	317
574	428	316
575	429	316
576	430	315
577	431	314
578	432	314
579	432	313
580	433	312
581	434	311
582	434	311
583	435	310
584	435	309
585	436	308
586	437	307
587	437	306
588	438	306
589	439	305
590	440	304
591	440	303
592	441	303
593	442	302
594	443	301
595	443	300
596	444	299
597	445	299
598	445	298
599	446	297
600	447	297
601	448	296
602	449	296
603	450	295
604	451	294
605	452	294
606	453	293
607	454	292
608	454	292
609	455	291
610	456	290
611	457	289
612	457	288
613	458	288
614	459	287
615	459	286
616	460	285
617	461	285
618	461	284
619	462	283
620	463	282
621	464	282
622	464	281
623	465	280
624	466	279
625	466	278
626	467	277
627	467	277
628	468	276
629	469	275
630	469	274
631	470	273
632	471	273
633	471	272
634	472	271
635	472	270
636	473	269
637	474	269
638	474	268
639	475	267
640	476	266
641	477	266
642	478	265
643	479	264
644	480	264
645	481	263
646	482	262
647	482	262
648	483	261
649	484	260
650	485	260
651	486	259
652	486	258
653	487	257
654	488	257
655	488	256
656	489	255
657	490	254
658	490	253
659	491	253
660	492	252
661	492	251
662	493	250
663	494	250
664	495	249
665	495	248
666	496	247
667	496	246
668	497	246
669	497	245
670	498	244
671	499	243
672	499	242
673	500	242
674	501	241
675	502	240
676	502	239
677	503	239
678	504	238
679	504	237
680	505	236
681	506	235
682	506	235
683	507	234
684	508	233
685	509	233
686	509	232
687	510	231
688	511	230
689	511	230
690	512	229
691	513	228
692	513	227
693	514	226
694	515	226
695	515	225
696	516	224
697	517	223
698	517	222
699	518	222
700	519	221
701	519	220
702	520	219
703	521	219
704	522	218
705	523	217
706	523	217
707	524	216
708	525	215
709	525	214
710	526	213
711	527	213
712	527	212
713	528	211
714	528	210
715	529	210
716	530	209
717	530	208
718	531	207
719	531	206
720	532	206
721	533	205
722	533	204
723	534	203
724	534	202
725	535	202
726	536	201
727	537	200
728	537	199
729	538	199
730	539	198
731	540	197
732	540	197
733	541	196
734	542	195
735	542	194
736	543	193
737	544	193
738	544	192
739	545	191
740	546	190
741	546	190
742	547	189
743	547	188
744	548	187
745	549	186
746	549	186
747	550	185
748	550	184
749	551	183
750	552	183
751	553	182
752	554	181
753	554	180
754	555	180
755	556	179
756	556	178
757	557	178
758	558	177
759	559	176
760	559	175
761	560	175
762	561	174
763	561	173
764	562	172
765	562	171
766	563	171
767	563	170
768	564	169
769	565	168
770	565	168
771	566	167
772	567	166
773	567	165
774	568	165
775	569	164
776	570	163
777	570	162
778	571	162
779	572	161
780	572	160
781	573	159
782	574	159
783	574	158
784	575	157
785	576	156
786	577	156
787	577	155
788	578	154
789	579	153
790	579	153
791	580	152
792	581	151
793	581	150
794	582	150
795	583	149
796	584	148
797	585	148
798	585	147
799	586	146
800	587	146
801	588	145
802	589	144
803	589	143
804	590	143
805	591	142
806	591	141
807	592	140
808	593	140
809	593	139
810	594	138
811	595	137
812	596	137
813	596	136
814	597	135
815	598	134
816	599	134
817	599	133
818	600	132
819	601	131
820	601	131
821	602	130
822	602	129
823	603	128
824	604	128
825	604	127
826	605	126
827	605	125
828	606	125
829	607	124
830	607	123
831	608	122
832	608	122
833	609	121
834	610	120
835	611	119
836	612	119
837	612	118
838	613	117
839	614	117
840	615	116
841	616	115
842	616	114
843	618	114
844	618	113
845	619	112
846	619	111
847	620	111
848	621	110
849	622	109
850	622	109
851	623	108
852	624	107
853	624	106
854	625	106
855	626	105
856	626	104
857	627	103
858	628	103
859	629	102
860	630	101
861	631	101
862	631	100
863	632	99
864	633	98
865	633	98
866	634	97
867	635	96
868	636	95
869	636	95
870	637	94
871	638	93
872	638	92
873	639	92
874	640	91
875	640	90
876	641	89
877	642	89
878	642	88
879	643	87
880	644	87
881	645	86
882	646	85
883	646	84
884	647	84
885	648	83
886	649	82
887	650	82
888	651	81
889	651	80
890	652	79
891	653	79
892	653	78
893	654	77
894	655	76
895	656	76
896	657	75
897	657	74
898	658	73
899	660	73
900	661	72
901	662	71
902	663	71
903	663	70
904	664	69
905	665	69
906	666	68
907	667	67
908	667	66
909	668	66
910	669	65
911	669	64
912	670	63
913	671	63
914	672	62
915	672	61
916	673	60
917	674	60
918	675	59
919	676	58
920	676	58
921	677	57
922	678	56
923	679	55
924	680	55
925	680	54
926	681	53
927	682	52
928	683	52
929	684	51
930	684	50
931	685	50
932	686	49
933	686	48
934	687	47
935	688	47
936	689	46
937	690	45
938	691	44
939	692	44
940	692	43
941	693	42
942	694	41
943	694	41
944	695	40
945	696	39
946	696	38
947	697	38
948	698	37
949	699	36
950	699	36
951	700	35
952	701	34
953	701	33
954	702	33
955	703	32
956	704	31
957	705	30
958	706	30
959	707	29
960	707	28
961	709	28
962	710	27
963	711	26
964	712	25
965	713	25
966	714	24
967	715	23
968	715	22
969	716	22
970	717	21
971	718	20
972	719	19
973	720	19
974	721	18
975	722	17
976	723	17
977	724	16
978	724	15
979	725	14
980	726	14
981	727	13
982	727	12
983	728	11
984	729	11
985	729	10
986	730	9
987	730	8
988	731	8
989	732	7
990	733	6
991	733	5
992	734	5
993	735	4
994	736	3
995	737	2
996	738	2
997	738	1
998	739	0
999	740	0
